track_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,popularity
The Tracks Of My Tears,Smokey Robinson & The Miracles,"['classic soul', 'motown', 'quiet storm', 'soul']",0.502,0.333,-10.914,0.0264,0.699,0.222,0.729,96.982,174360,0
Yesterday - Remastered 2009,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.332,0.179,-11.83,0.0326,0.879,0.0886,0.315,96.529,125667,0
Dancing Queen,ABBA,"['europop', 'swedish pop']",0.543,0.87,-6.514,0.0428,0.358,0.792,0.754,100.804,230400,0
Summertime Blues,Eddie Cochran,"['rock-and-roll', 'rockabilly']",0.714,0.886,-8.629,0.0554,0.116,0.18,0.954,156.351,119360,0
This Charming Man - 2011 Remaster,The Smiths,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",0.611,0.846,-5.9,0.0436,0.00509,0.0784,0.751,103.912,162920,0
Blue Suede Shoes,Carl Perkins,"['rock-and-roll', 'rockabilly']",0.548,0.673,-7.318,0.0364,0.448,0.342,0.965,168.891,134446,0
Good Times - 2018 Remaster,CHIC,"['contemporary country', 'country', 'country dawn']",0.869,0.503,-12.804,0.0479,0.0818,0.187,0.914,112.664,486187,0
Pyramids,Frank Ocean,"['lgbtq+ hip hop', 'neo soul']",0.4,0.65,-6.104,0.0466,0.0118,0.791,0.15,107.989,592920,0
My Girl,The Temptations,"['memphis soul', 'motown', 'soul']",0.572,0.418,-10.738,0.0349,0.635,0.0961,0.694,104.566,165000,0
"Paint It, Black",The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.464,0.795,-9.267,0.0926,0.0493,0.399,0.612,158.691,202267,0
Video Games,Lana Del Rey,"['art pop', 'pop']",0.39,0.252,-9.666,0.0298,0.808,0.0887,0.181,122.053,281947,0
Rehab,Amy Winehouse,"['british soul', 'neo soul']",0.407,0.558,-13.609,0.0552,0.0541,0.34,0.777,71.815,214947,0
